size,distance_from_center,rooms,price
214,5.09024,5,749000
214,4.33231,6,749000
550,2.63446,,745000
91,1.43364,3,743888
337,1.89028,7,739000
91,1.43364,3,732888
535,8.14662,6,730000
274,5.09024,6,730000
252,3.83992,5,730000
249,3.83992,7,730000
252,2.85759,5,730000
252,2.85759,5,730000
252,2.63446,5,730000
177,2.057,6,730000
149,4.44433,4,729000
91,1.43364,3,727888
91,1.43364,3,727888
207,2.85759,6,725000
623,6.43549,5,720000
480,3.56307,10,719000
91,1.43364,3,716000
140,1.43364,4,715000
400,6.0833,6,714000
400,5.53949,6,714000
87,1.43364,2,712888
555,5.74776,5,710000
300,2.63446,6,710000
300,2.63446,6,709000
87.61,0.825181,3,708888
88,1.43364,3,706888
501,2.21972,,705000
501,2.17025,1,705000
1000,20.159,5,700000
380,13.7775,9,700000
959,9.71245,10,700000
959,9.66019,9,700000
963,9.38009,9,700000
728,9.38009,8,700000
960,9.38009,8,700000
960,9.38009,,700000
959,9.38009,10,700000
959,9.38009,10,700000
960,8.45526,5,700000
365,6.02467,7,700000
275,5.09024,5,700000
268,4.55249,5,700000
141,4.44433,4,700000
90,4.33231,1,700000
175,3.47996,4,700000
392,0.891307,1,700000
350,7.20064,5,699000
959,5.36358,1,695000
256,6.02192,6,690000
380,5.09024,5,690000
143,2.85759,6,690000
278,5.09024,6,675000
179,3.20643,3,670000
315,2.52048,,670000
143,0.557691,5,670000
196,2.057,5,668900
139,1.43364,4,662000
138,1.43364,4,661888
640,9.71245,5,659000
136,1.43364,4,656888
136,1.43364,4,656888
260,9.71245,6,650000
635,9.39322,10,650000
635,9.39322,,650000
650,9.39322,9,650000
635,8.17868,17,650000
635,8.12939,10,650000
636,8.12939,12,650000
500,8.12939,5,650000
768,7.10026,,650000
760,7.06187,11,650000
896,7.06187,8,650000
768,7.01354,10,650000
706,5.74776,9,650000
278,5.09024,5,650000
265,5.09024,6,650000
167,5.09024,4,650000
260,4.55249,10,650000
154,4.33231,6,650000
260,4.33231,5,650000
134,4.33231,10,650000
540,2.63446,,650000
564,2.63446,5,650000
160,0.691768,5,650000
160,0.622383,5,650000
185,0.424649,10,650000
167,0.424649,5,650000
167,0.156989,5,650000
156,0.156989,5,650000
156,0.156989,5,650000
278,3.86458,6,649500
335,9.71245,5,649000
150,0.126705,4,649000
481,7.20064,5,640000
160,4.33231,4,640000
250,2.14118,7,640000
250,2.14118,9,639000
