size,distance_from_center,price
160,3.96324,365000
230,6.01333,365000
101,0.156989,363000
101,0.156989,363000
111,1.43364,362888
226,5.53949,361000
111,1.43364,360888
700,11.8296,360000
190,9.71245,360000
550,10.3411,360000
178,4.06245,360000
490,10.3169,360000
370,10.8419,360000
414,5.91953,360000
350,3.90821,360000
140,0.411135,360000
119,1.43364,360000
128,0.156989,360000
147,1.01797,360000
148,0.554301,360000
105,0.148558,360000
126,4.33847,360000
126,4.33847,360000
126,4.33847,360000
126,4.33847,360000
150,0.710863,360000
90,4.33231,360000
148,0.424649,360000
115,0.148558,360000
130,0.424649,360000
90,0.156989,360000
118,1.43364,358888
110.46,1.43364,358888
118,1.43364,358888
128,0.459646,358400
128,0.459646,358400
118,2.057,358000
119,1.43364,357888
119,1.43364,357888
102,2.52048,357420
115,5.26985,357000
272,4.78557,357000
160,5.09024,357000
99,4.33231,356400
99,5.09024,356400
290,5.50686,356000
289,5.50686,356000
89,0.156989,356000
290,7.20064,356000
110.64,1.43364,355888
111,1.43364,355888
111,1.43364,355888
148,5.14228,355056
103,0.424649,355000
145,4.33231,355000
93,1.43364,355000
145,5.09024,355000
90,1.43364,355000
113,1.43364,353000
118.03,1.43364,352888
128,2.67382,352000
88,0.156989,352000
160,0.779512,352000
117,1.43364,351888
111,1.43364,350888
150,5.09024,350000
284,7.20064,350000
400,7.79349,350000
350,11.7218,350000
192,7.84599,350000
330,5.91953,350000
165,4.33231,350000
300,4.04613,350000
195,2.63446,350000
350,8.41157,350000
600,8.32368,350000
570,7.80819,350000
210,7.20064,350000
150,5.09024,350000
150,4.33231,350000
280,3.69598,350000
333,6.54604,350000
250,8.15602,350000
304,4.78557,350000
294,4.06245,350000
193,2.49293,350000
200,4.78557,350000
322,3.04747,350000
290,8.15602,350000
150,5.09024,350000
700,11.0628,350000
580,5.91953,350000
390,6.93042,350000
110,0.615798,350000
135,5.09024,350000
97,0.156989,350000
172,5.09024,350000
112,1.06401,350000
117,1.06401,350000
107,2.28352,350000
102,2.16739,350000
111,1.05038,350000
116,1.05038,350000
165,4.33231,350000
118,3.20643,350000
175,4.19315,350000
120,5.09024,350000
153,0.526064,350000
170,0.424649,350000
102,2.16739,350000
112,9.71245,350000
223,4.33231,350000
104,0.523096,350000
106,0.389715,350000
118,3.20643,350000
110,1.56083,350000
127,2.54091,350000
84,0.156989,350000
147,1.06401,350000
152,4.78557,350000
100,4.90635,350000
140,4.33231,350000
400,7.80819,350000
335,9.71245,350000
325,11.489,350000
200,3.82062,349900
174,4.33231,349900
84,0.156989,349900
102,0.180963,349900
102,0.156989,349900
109,2.057,349900
121,1.43364,349888
111,1.43364,349888
112,2.67382,349888
127,2.67382,349250
245,9.31894,349000
120,0.156989,349000
105,0.156989,349000
160,26.7801,348000
115,1.43364,347888
115,1.43364,347888
115,1.43364,347888
133,3.16964,346000
90,6.01333,345000
270,5.45598,345000
135,2.63446,345000
146,5.09024,345000
146,5.09024,345000
146,4.33231,345000
149,5.09024,345000
135,2.63446,345000
111,1.43364,344888
121,1.43364,342000
103,0.424649,341900
131,5.09024,341000
131,5.09024,341000
165,3.57727,340000
234,9.71245,340000
166,6.8129,340000
115,0.414536,340000
110,0.424649,340000
115,0.156989,340000
115,0.0246945,340000
115,0.156989,340000
89,1.43364,340000
109,1.15138,340000
110,2.42063,340000
104,1.43593,340000
169,2.057,340000
89,1.43364,340000
120,1.01797,340000
112,2.16739,339888
141,5.14228,339072
210,2.057,338900
119,1.43364,338888
119.15,1.43364,338888
117,1.43364,338888
121,1.43364,338888
141,5.14228,338376
112,9.71245,338000
300,16.49,337000
131,2.85759,336980
420,5.37728,336000
156,0.156989,335000
115,2.16739,333500
120,1.06401,333000
120,0.523096,333000
128,1.91115,333000
120,0.523096,333000
124,1.06401,333000
110.61,1.43364,332888
119,0.825181,330888
174,7.20064,330600
